t_us,ptr,bytes,kind,tag,owner_func,owner_site
11631518519,0x796f03600000,1228800,GPUImage,feature_tracks,cuvslam::sof::MonoSOFGPU::finish,/cuvslam/libs/sof/sof_mono_gpu.cpp:180
11631518544,0x796f131e0000,57600,GPUArrayPinned,feature_tracks,cuvslam::sof::MonoSOFGPU::finish,/cuvslam/libs/sof/sof_mono_gpu.cpp:180
11631518547,0x796f19586c00,57600,GPUArrayPinnedHost,feature_tracks:host,cuvslam::sof::MonoSOFGPU::finish,/cuvslam/libs/sof/sof_mono_gpu.cpp:180
11631518555,0x796f131ee200,30720,GPUImage,feature_tracks,cuvslam::sof::MonoSOFGPU::finish,/cuvslam/libs/sof/sof_mono_gpu.cpp:180
11631518566,0x796f135cb200,61440,GPUImage,feature_tracks,cuvslam::sof::MonoSOFGPU::finish,/cuvslam/libs/sof/sof_mono_gpu.cpp:180
11631522334,0x302000000,58111,SelectionSortTemp,feature_tracks,cuvslam::sof::MonoSOFGPU::finish,/cuvslam/libs/sof/sof_mono_gpu.cpp:180
11633724921,0x796f1372c000,737280,GPUImage,depth_pyramid,cuvslam::sof::ImageContext::build_gpu_depth_pyramid,/cuvslam/libs/sof/image_context.cpp:281
11635222890,0x796f0e2e1000,921600,GPUOnlyArray,pyramid_levels,cuvslam::sof::ImageContext::build_gpu_image_pyramid,/cuvslam/libs/sof/image_context.cpp:210
11635364806,0x796f1392c000,737280,GPUImage,depth_pyramid,cuvslam::sof::ImageContext::build_gpu_depth_pyramid,/cuvslam/libs/sof/image_context.cpp:281
11635723879,0x796f03a00000,921600,GPUOnlyArray,pyramid_levels,cuvslam::sof::ImageContext::build_gpu_image_pyramid,/cuvslam/libs/sof/image_context.cpp:210
11635726733,0x796f13b2c000,737280,GPUImage,depth_pyramid,cuvslam::sof::ImageContext::build_gpu_depth_pyramid,/cuvslam/libs/sof/image_context.cpp:281
12279426225,0x796f19600000,,FREE,,,
12279426226,0x796f194c3600,,FREE,,,
12279426269,0x796f21ebd200,,FREE,,,
12279426269,0x796f19400000,,FREE,,,
12279426288,0x302000000,,FREE,,,
12279427205,0x796f131e0000,,FREE,,,
12279427205,0x796f19586c00,,FREE,,,
12279430410,0x796f135cb200,,FREE,,,
12279430420,0x796f131ee200,,FREE,,,
12279430427,0x796f03600000,,FREE,,,
12279431480,0x796f03400000,,FREE,,,
12279432844,0x796f217f7200,,FREE,,,
12279432844,0x796f1dff4600,,FREE,,,
12279432889,0x796f2160c000,,FREE,,,
12279432889,0x796f1de0c000,,FREE,,,
12279432903,0x796f21600400,,FREE,,,
12279432903,0x796f1de00400,,FREE,,,
12279432914,0x796f21600200,,FREE,,,
12279432914,0x796f1de00200,,FREE,,,
12279432924,0x796f21600000,,FREE,,,
12279432924,0x796f1de00000,,FREE,,,
12279432963,0x796f217f7000,,FREE,,,
12279432963,0x796f1dff4400,,FREE,,,
12279432975,0x796f217f6e00,,FREE,,,
12279432975,0x796f1dff4200,,FREE,,,
12279441044,0x796f21e0f000,,FREE,,,
12279441045,0x796f1dfe6000,,FREE,,,
12279441054,0x796f217f5800,,FREE,,,
12279441054,0x796f1dfe5e00,,FREE,,,
12279441064,0x796f217f5600,,FREE,,,
12279441064,0x796f1dfe5c00,,FREE,,,
12279441073,0x796f217f5400,,FREE,,,
12279441073,0x796f1dfe5a00,,FREE,,,
12279441083,0x796f21e00000,,FREE,,,
12279441088,0x796f20000000,,FREE,,,
12279442377,0x796f217ec600,,FREE,,,
12279442377,0x796f1dfdcc00,,FREE,,,
12279442386,0x796f217d2000,,FREE,,,
12279442387,0x796f1dfc2600,,FREE,,,
12279442395,0x796f217d1e00,,FREE,,,
12279442395,0x796f1dfc2400,,FREE,,,
12279442405,0x796f217c2e00,,FREE,,,
12279442410,0x796f1fa00000,,FREE,,,
12279443692,0x796f217ba000,,FREE,,,
12279443692,0x796f1dfb9600,,FREE,,,
12279443701,0x796f2179fa00,,FREE,,,
12279443701,0x796f1df9f000,,FREE,,,
12279443710,0x796f21796c00,,FREE,,,
12279443710,0x796f1df96200,,FREE,,,
12279443719,0x796f21796a00,,FREE,,,
