variant	mode	plain_APE_m	nsys_APE_m	delta_m	matched	status
kitti02_stereo_slam_async__base	Multicamera/async	6.0862	4.0091	2.0771	4661	CHECK
kitti03_stereo_odom__base	Multicamera/odom	3.9414	3.9414	0	801	OK
kitti03_stereo_slam__base	Multicamera/slam	4.0539	3.9413	0.1126	801	OK
kitti03_stereo_slam_async__base	Multicamera/async	4.0539	3.9413	0.1126	801	OK
kitti04_stereo_odom__base	Multicamera/odom	2.1555	2.1555	0	271	OK
kitti04_stereo_slam__base	Multicamera/slam	2.1556	2.1556	0	271	OK
kitti04_stereo_slam_async__base	Multicamera/async	2.1556	2.1775	0.0219	271	OK
kitti05_stereo_odom__base	Multicamera/odom	3.3099	3.3099	0	2761	OK
kitti05_stereo_slam__base	Multicamera/slam	2.1545	2.1545	0	2761	OK
kitti05_stereo_slam_async__base	Multicamera/async	2.1421	2.1489	0.0068	2761	OK
kitti06_stereo_odom__base	Multicamera/odom	2.8832	2.8832	0	1101	OK
kitti06_stereo_slam__base	Multicamera/slam	2.3120	2.2769	0.0351	1101	OK
kitti06_stereo_slam__denoising	Multicamera/slam	2.5534	2.4534	0.1	1101	OK
kitti06_stereo_slam__landmarks_export	Multicamera/slam	2.2870	2.3120	0.025	1101	OK
kitti06_stereo_slam__multicam_precision	Multicamera/slam	2.2769	2.2892	0.0123	1101	OK
kitti06_stereo_slam__no_motion_model	Multicamera/slam	1.7146	1.7146	0	1101	OK
kitti06_stereo_slam__odom_only	Multicamera/odom	2.8832	2.8832	0	1101	OK
kitti06_stereo_slam__sba_async	Multicamera/slam	2.2712	2.3095	0.0383	1101	OK
kitti06_stereo_slam__slam_async	Multicamera/async	2.2850	2.3211	0.0361	1101	OK
kitti06_stereo_slam__slam_cpu	Multicamera/slam	2.8833	3.1413	0.258	1101	CHECK
kitti06_stereo_slam__slam_planar	Multicamera/slam	2.2490	2.2490	0	1101	OK
kitti06_stereo_slam__slam_sync	Multicamera/slam	2.2769	2.2769	0	1101	OK
kitti06_stereo_slam__unrectified	Multicamera/slam	2.4384	2.4609	0.0225	1101	OK
kitti06_stereo_slam_async__base	Multicamera/async	2.3241	2.3186	0.0055	1101	OK
kitti07_stereo_odom__base	Multicamera/odom	1.4379	1.4963	0.0584	1101	OK
kitti07_stereo_slam__base	Multicamera/slam	1.0324	1.0324	0	1101	OK
kitti07_stereo_slam_async__base	Multicamera/async	1.0326	1.0342	0.0016	1101	OK
kitti08_stereo_odom__base	Multicamera/odom	4.5660	4.3864	0.1796	4071	OK
kitti08_stereo_slam__base	Multicamera/slam	4.3864	4.3864	0	4071	OK
kitti08_stereo_slam_async__base	Multicamera/async	4.2891	4.3864	0.0973	4071	OK
kitti09_stereo_odom__base	Multicamera/odom	3.5281	3.6912	0.1631	1591	OK
kitti09_stereo_slam__base	Multicamera/slam	3.6912	3.4000	0.2912	1591	CHECK
kitti09_stereo_slam_async__base	Multicamera/async	3.4592	3.4277	0.0315	1591	OK
kitti10_stereo_odom__base	Multicamera/odom	2.1687	2.1600	0.0087	1201	OK
kitti10_stereo_slam__base	Multicamera/slam	2.1804	2.1599	0.0205	1201	OK
kitti10_stereo_slam_async__base	Multicamera/async	2.1687	2.1599	0.0088	1201	OK
tum_fr3_cabinet_rgbd_odom__base	RGBD/odom	0.2927	0.2927	0	1109	OK
tum_fr3_cabinet_rgbd_slam__base	RGBD/slam	0.2927	0.2927	0	1109	OK
tum_fr3_cabinet_rgbd_slam_cpu__base	RGBD/slam	0.2927	0.2927	0	1109	OK
tum_fr3_long_office_household_rgbd_odom__base	RGBD/odom	0.0020	0.1003	0.0983	2486	CHECK
tum_fr3_long_office_household_rgbd_slam__base	RGBD/slam	0.0179	0.0179	0	2486	OK
tum_fr3_long_office_household_rgbd_slam__denoising	RGBD/slam	0.0301	0.0301	0	2486	OK
tum_fr3_long_office_household_rgbd_slam__depth_stereo_track	RGBD/slam	0.0179	0.0186	0.0007	2486	OK
tum_fr3_long_office_household_rgbd_slam__landmarks_export	RGBD/slam	0.0179	0.0186	0.0007	2486	OK
tum_fr3_long_office_household_rgbd_slam__no_motion_model	RGBD/slam	0.0179	0.0179	0	2486	OK
tum_fr3_long_office_household_rgbd_slam__odom_only	RGBD/odom	0.1003	0.1003	0	2486	OK
tum_fr3_long_office_household_rgbd_slam__sba_async	RGBD/slam	0.0191	0.0238	0.0047	2486	OK
tum_fr3_long_office_household_rgbd_slam__slam_async	RGBD/async	0.0186	0.0215	0.0029	2486	OK
tum_fr3_long_office_household_rgbd_slam__slam_cpu	RGBD/slam	0.1003	0.0758	0.0245	2486	OK
tum_fr3_long_office_household_rgbd_slam__slam_planar	RGBD/slam	0.1322	0.1322	0	2486	OK
tum_fr3_long_office_household_rgbd_slam__slam_sync	RGBD/slam	0.0179	0.0179	0	2486	OK
tum_fr3_long_office_household_rgbd_slam_cpu__base	RGBD/slam	0.0758	0.0758	0	2486	OK
tum_fr3_nostructure_notexture_far_rgbd_odom__base	RGBD/odom	0.4138	0.4138	0	452	OK
tum_fr3_nostructure_notexture_far_rgbd_slam__base	RGBD/slam	0.4138	0.4138	0	452	OK
tum_fr3_nostructure_notexture_far_rgbd_slam_cpu__base	RGBD/slam	0.4138	0.4138	0	452	OK
tum_fr3_nostructure_notexture_near_withloop_rgbd_odom__base	RGBD/odom	0.3896	0.3896	0	1089	OK
tum_fr3_nostructure_notexture_near_withloop_rgbd_slam__base	RGBD/slam	0.3896	0.3896	0	1089	OK
tum_fr3_nostructure_notexture_near_withloop_rgbd_slam_cpu__base	RGBD/slam	0.3896	0.3896	0	1089	OK
tum_fr3_nostructure_texture_far_rgbd_odom__base	RGBD/odom	0.2724	0.2724	0	448	OK
tum_fr3_nostructure_texture_far_rgbd_slam__base	RGBD/slam	0.2724	0.2724	0	448	OK
tum_fr3_nostructure_texture_far_rgbd_slam_cpu__base	RGBD/slam	0.2724	0.2724	0	448	OK
tum_fr3_nostructure_texture_near_withloop_rgbd_odom__base	RGBD/odom	0.0836	0.0836	0	1636	OK
tum_fr3_nostructure_texture_near_withloop_rgbd_slam__base	RGBD/slam	0.0270	0.0270	0	1636	OK
tum_fr3_nostructure_texture_near_withloop_rgbd_slam_cpu__base	RGBD/slam	0.0836	0.0836	0	1636	OK
tum_fr3_sitting_halfsphere_rgbd_odom__base	RGBD/odom	0.1649	0.1252	0.0397	1069	OK
tum_fr3_sitting_halfsphere_rgbd_slam__base	RGBD/slam	0.0285	0.0285	0	1069	OK
tum_fr3_sitting_halfsphere_rgbd_slam_cpu__base	RGBD/slam	0.1204	0.1252	0.0048	1069	OK
tum_fr3_sitting_xyz_rgbd_odom__base	RGBD/odom	0.0440	0.0321	0.0119	1216	OK
tum_fr3_sitting_xyz_rgbd_slam__base	RGBD/slam	0.0286	0.0514	0.0228	1216	OK
tum_fr3_sitting_xyz_rgbd_slam_cpu__base	RGBD/slam	0.0440	0.0440	0	1216	OK
tum_fr3_structure_texture_far_rgbd_odom__base	RGBD/odom	0.0439	0.0439	0	904	OK
tum_fr3_structure_texture_far_rgbd_slam__base	RGBD/slam	0.0439	0.0439	0	904	OK
tum_fr3_structure_texture_far_rgbd_slam_cpu__base	RGBD/slam	0.0439	0.0439	0	904	OK
tum_fr3_structure_texture_near_rgbd_odom__base	RGBD/odom	0.0186	0.0186	0	1054	OK
tum_fr3_structure_texture_near_rgbd_slam__base	RGBD/slam	0.0186	0.0186	0	1054	OK
tum_fr3_structure_texture_near_rgbd_slam_cpu__base	RGBD/slam	0.0186	0.0186	0	1054	OK
tum_fr3_teddy_rgbd_odom__base	RGBD/odom	0.1084	0.1625	0.0541	2323	CHECK
tum_fr3_teddy_rgbd_slam__base	RGBD/slam	0.1641	0.0545	0.1096	2323	CHECK
tum_fr3_teddy_rgbd_slam_cpu__base	RGBD/slam	0.2647	0.2360	0.0287	2323	OK
tumvi_corridor1_inertial_odom__base	Inertial/odom	4970.5686	3226.1845	1744.38	1040	CHECK
tumvi_corridor1_inertial_slam__base	Inertial/slam	5922.0686	2763.1764	3158.89	1040	CHECK
tumvi_magistrale1_inertial_odom__base	Inertial/odom	4209.3333	4104.9658	104.368	1722	OK
tumvi_magistrale1_inertial_slam__base	Inertial/slam	1198.9236	4209.3499	3010.43	1722	CHECK
