app,kernel,class,mem_sol,comp_sol,dram_sol,lfmr,occ,log_sect,qsr,l2amp,s_core,s_mem,dsa
hb_blas_fp8gemm,sm89_xmma_gemm_e4m3e4m3_e4m3f32_f32_tn_n_tilesize128x128x64_stage3_warpsize2x2x1_tensor16x8x32_execute_kernel__5x_cublas,G5-compute,48.5316,89.3453,16.3181,0.0117,16.5631,1.2041,1.3022,0.0662,1.9993,1.0001,89.9926
hb_blas_gemm,cutlass::Kernel2,G7-dependency,22.7106,23.666,4.8727,0.1154,21.0589,0.9189,0.5713,0.1743,1.9754,0.9994,90.0333
hb_blas_gemm,cublasLt::splitKreduce_kernel,G1-bandwidth,12.5041,5.4706,12.5041,0.5057,31.6884,0.4259,0.0077,0.5006,1.7098,1.0002,89.9862
hb_blas_gemm,matrix_mul,G3-l2-reuse,29.4723,29.4723,2.6134,0.1537,22.6125,0.5512,0.1363,0.1492,1.8549,1.0021,89.8601
hb_blas_gemmBatched,Kernel2,G1-bandwidth,84.595,82.7248,31.0592,0.628,71.674,0.2527,0.8724,2.2846,,,
hb_blas_gemmStridedBatched,Kernel2,G1-bandwidth,80.3622,79.6988,30.545,0.7817,72.2338,0.4535,1.6612,2.9731,,,
hb_blockAccess,reference,G1-bandwidth,95.5196,7.3342,95.5196,0.8008,91.3904,1.2041,0.0003,0.9876,1.0035,1.3588,0.5603
hb_blockAccess,256,G1-bandwidth,95.3841,14.7403,95.3841,0.6598,92.1351,1.2041,0.0003,0.8229,,,
hb_blockexchange,k,G1-bandwidth,83.9047,14.2721,83.9047,0.3668,88.0685,1.2041,0.6104,0.7111,1.1277,1.3016,22.9572
hb_bm3d,block_matching,G3-l2-reuse,93.3733,93.3733,0.3332,0.2147,64.8385,1.4377,2.3072,0.2447,1.9987,1.0004,89.9789
hb_bm3d,aggregate_block,G3-l2-reuse,79.7938,13.1076,34.6238,0.2189,93.0059,0.3979,2.2979,0.2237,1.723,1.0187,88.5151
hb_bm3d,DCT2D8x8,G1-bandwidth,93.1148,30.4765,93.1148,0.5026,82.7615,0.6021,1.616,0.9415,1.3824,1.3567,46.994
hb_bm3d,IDCT2D8x8,G1-bandwidth,93.6053,30.8098,93.6053,0.4999,82.736,0.6021,1.61,0.941,1.403,1.3721,47.2887
hb_bm3d,hard_treshold_block,G1-bandwidth,97.5295,97.5295,72.4468,0.5026,77.1817,0.5921,3.3163,0.9295,1.9819,1.104,83.9543
hb_bm3d,get_block,G1-bandwidth,85.1566,31.6981,85.1566,0.0181,89.8668,0.6021,0.3866,0.775,1.081,1.3182,14.2812
hb_bonds,bonds,G3-l2-reuse,61.4513,60.0696,5.1619,0.0064,60.5855,1.3741,0.3703,0.0237,1.9311,1.0006,89.9658
hb_boxfilter,col_kernel,G4-latency,4.5059,4.8044,4.4867,0.5013,4.1657,0.6021,0.0,0.4731,1.7787,1.0001,89.9959
hb_boxfilter,row_kernel,G5-compute,28.3572,95.9783,7.6343,0.4124,93.9982,0.5929,9.5107,0.4039,1.9986,1.0,90.0014
hb_bsearch,kernel_BS,G3-l2-reuse,87.2163,14.2715,34.9815,0.1339,93.8667,1.3856,0.0296,0.1508,1.9165,0.9923,90.4828
hb_bspline_vgh,bspline,G2-coalescing,19.2585,3.4054,19.2585,0.712,15.99,1.3986,0.0165,0.7039,1.7953,1.0029,89.7888
hb_btree,insert_keys,G5-compute,31.8381,62.5356,15.3094,0.1383,64.696,0.6021,0.0023,0.231,,,
hb_btree,search_b_tree,G1-bandwidth,62.1283,93.0715,18.1081,0.4673,97.182,0.6021,0.0978,0.4806,,,
hb_btree,init_btree,G3-l2-reuse,0.5796,0.0193,0.5796,0.2748,2.0833,0.0,0.0,0.2143,,,
hb_burger,core,G5-compute,16.217,89.3727,16.217,0.3878,77.9913,0.9995,0.0019,0.753,1.9997,1.0001,89.9969
hb_burger,update,G1-bandwidth,94.6098,5.6477,94.6098,0.5022,83.3326,0.9031,0.0776,0.9936,1.0094,1.3574,1.5141
hb_burger,bound_v,G3-l2-reuse,64.1582,7.4017,16.9676,0.1488,21.5517,1.5034,694.3345,0.1754,1.1996,1.1799,47.9679
hb_burger,bound_h,G7-dependency,20.9324,3.1689,0.5617,0.0132,22.1248,0.902,25.1859,0.0109,1.5673,1.0636,83.6022
hb_bwt,bitonic_sort_step,G1-bandwidth,57.5894,57.7786,57.5894,0.6292,80.3522,0.6732,0.0054,0.8799,1.6478,1.0397,86.4918
hb_bwt,generate_table,G1-bandwidth,82.9749,65.9468,82.9749,0.0001,69.368,0.6021,0.2896,0.7355,1.9512,1.2263,76.6194
hb_car,car,G1-bandwidth,96.0322,28.4723,96.0322,0.8357,97.2043,0.9173,0.0036,0.863,1.0016,1.361,0.2572
hb_cbsfil,toCoef2DX,G3-l2-reuse,68.5949,3.8935,19.926,0.1039,19.3785,1.5052,3.9584,0.2053,1.4742,1.0655,82.1315
hb_cbsfil,toCoef2DY,G1-bandwidth,61.5535,6.0542,61.5535,0.4846,24.1147,0.6021,0.0,0.9644,1.211,1.1815,49.2954
hb_ccsd_trpdrv,ccsd_kernel,G5-compute,14.4219,81.9846,14.2957,0.5042,63.1457,0.9399,0.2623,0.4961,1.9948,1.0001,89.9925
hb_chacha20,test_keystreams,G7-dependency,1.025,0.3035,0.632,0.2166,2.9583,0.043,0.0,0.2523,1.9574,1.0,90.0023
hb_chemv,chemv_kernel1,G4-latency,1.631,1.5023,0.4838,0.3733,2.0833,0.1198,0.0,0.3335,1.7665,1.0,89.9991
hb_chemv,chemv_kernel0,G4-latency,2.3459,0.6084,2.3168,0.4663,2.0833,0.8477,0.0,0.4903,1.6973,1.0048,89.6031
hb_clenergy,cenergy,G5-compute,20.2761,80.7628,0.6336,0.5357,81.192,0.6021,6.4652,0.5969,1.9987,1.0,90.0003
hb_clock,timedReduction,G3-l2-reuse,64.5082,64.5082,0.0271,0.0119,87.293,0.6021,1.4062,0.0056,1.9536,1.0014,89.9185
hb_cmembench,benchmark_constant,G6-onchip,25.3051,25.3051,0.6144,0.3002,31.2006,0.0,0.0972,0.3276,1.8144,1.0,90.0021
hb_cobahh,cobahh,G1-bandwidth,94.4852,43.8293,94.4852,0.5276,90.5182,0.6021,0.0426,0.7461,1.0369,1.3036,6.9367
hb_collision,checkDuplicates,G3-l2-reuse,0.9954,0.0374,0.7113,0.2895,2.0833,0.6021,0.0,0.2505,1.7099,0.9999,90.0046
hb_colorwheel,color,G1-bandwidth,94.4318,5.635,94.4318,0.0037,90.1687,0.602,6.4119,0.8651,1.0729,1.3319,12.3875
hb_compute_score,compute,G1-bandwidth,45.6102,45.6102,40.1855,0.6356,47.9228,0.8108,0.0026,0.6466,1.8086,1.0188,88.6699
hb_compute_score,reduction,G1-bandwidth,92.0292,13.1104,92.0292,0.7419,88.9265,1.0126,0.0001,0.7416,1.0324,1.3383,5.4772
hb_concurrentKernels,clock_block,G7-dependency,0.3948,0.5682,0.3948,0.9239,2.0833,0.0,0.0,0.9217,2.0,1.0,90.0
hb_concurrentKernels,sum,G3-l2-reuse,0.6836,0.0458,0.6836,0.1693,2.0833,0.0,0.0,0.2231,1.5846,1.0308,86.9872
hb_contract,contraction,G5-compute,25.7283,94.9622,6.9198,0.0785,56.0358,0.8756,0.0436,0.057,2.0029,1.0009,89.9512
hb_conversion,cvt,G1-bandwidth,80.3986,22.7601,80.3986,0.4802,79.1548,0.4076,0.0,0.9917,1.2635,1.2688,44.4282
hb_convolution3D,conv3d_s1,G3-l2-reuse,78.8078,78.8078,3.5198,0.0913,78.4773,0.6531,0.7294,0.0905,1.9509,1.0003,89.9841
hb_convolutionSeparable,conv_rows,G1-bandwidth,93.534,93.534,87.8201,0.4579,94.2357,0.6021,11.9027,0.894,1.9501,1.2785,73.6606
hb_convolutionSeparable,conv_cols,G1-bandwidth,93.592,68.0072,93.592,0.4449,97.9948,0.6021,5.1817,0.8686,1.4245,1.3596,49.7308
hb_coordinates,transform::transform_kernel,G5-compute,34.7508,84.9114,34.7508,0.337,96.6249,1.2041,0.0001,0.6456,1.9996,1.0001,89.9928
hb_coordinates,for_each::static_kernel,G1-bandwidth,93.7584,4.9892,93.7584,0.0013,86.8958,1.2041,3814.1053,0.8941,1.0602,1.3422,9.9842
hb_crc64,crc64_kernel,G2-coalescing,46.911,12.6481,27.2711,0.4283,63.2301,1.4222,0.4291,0.4385,1.4505,0.9916,91.0695
hb_cross,cross_kernel,G1-bandwidth,95.7759,10.4709,95.7759,0.6619,87.6851,1.0792,0.0717,0.9576,1.0046,1.3598,0.7268
hb_crossEntropy,loss_bwd,G1-bandwidth,90.3996,19.9141,90.3996,0.3902,93.5805,0.5029,2.6006,0.7135,1.8275,1.0561,86.1209
hb_crs,gcrs_m_1_w_4_coding_dotprod,G1-bandwidth,81.4227,34.7313,81.4227,0.7163,88.9955,0.9031,0.0182,0.7097,1.4907,1.1685,71.0426
hb_crs,gcrs_m_1_w_5_coding_dotprod,G1-bandwidth,75.6633,49.4048,75.6633,0.6239,86.7978,0.9329,0.0591,0.6166,1.6177,1.1498,76.3665
hb_damage,damage_of_node,G1-bandwidth,75.8851,75.8851,28.9136,0.9262,71.5404,0.5643,0.3738,0.9409,1.7612,1.0398,87.008
hb_dct8x8,DCT8x8_kernel,G1-bandwidth,94.6593,28.9682,94.6593,0.5017,86.7115,0.6021,1.3402,0.9707,1.003,1.3586,0.4746
hb_ddbp,img_integration_kernel,G3-l2-reuse,52.4937,34.9239,45.4108,0.3388,73.8835,0.8362,0.0345,0.3369,1.1631,1.0821,63.2844
hb_ddbp,pad_projections_kernel,G7-dependency,9.732,0.3407,1.502,0.0769,14.0675,1.4971,0.0,0.0933,1.572,1.0038,89.62
hb_ddbp,map_boudaries_kernel,G6-onchip,1.6609,3.4111,0.5943,0.1262,15.3248,0.8855,0.0,0.0941,1.552,0.988,91.2454
hb_debayer,malvar_he_cutler_demosaic,G3-l2-reuse,73.9276,81.5255,33.8016,0.1084,83.6664,0.5141,0.185,0.4001,1.9093,1.0587,86.3052
hb_depixel,eliminate_crosses,G7-dependency,0.4089,0.7392,0.4089,0.8477,2.4759,0.5991,0.0002,0.8573,1.9948,1.0016,89.9089
hb_depixel,check_connect,G5-compute,55.5749,83.6074,55.5749,0.2956,90.7726,1.1023,0.1016,0.3652,1.9795,1.0328,88.0812
hb_determinant,getrf_wo_pivot_params,G7-dependency,3.8343,0.7957,3.8343,0.346,8.1233,0.3565,0.011,0.3607,,,
hb_determinant,cub::DeviceReduceSingleTileKernel,G7-dependency,4.6866,0.1493,4.5428,0.3452,16.337,1.0414,0.0,0.3823,,,
hb_determinant,xxtrf4_set_info_ker,G7-dependency,1.6915,0.0065,1.2617,0.2857,2.0833,0.0,0.0,0.3301,1.6625,0.9996,90.0336
hb_dispatch,EmptyKernel,G7-dependency,1.3481,0.002,1.2415,0.2697,2.0833,-2.0,0.0,0.2759,1.6504,0.9998,90.0134
hb_distort,barrel_distort,G3-l2-reuse,81.2722,59.1972,18.854,0.2298,85.3403,0.7244,2.6771,0.2297,1.9666,1.0,90.0007
hb_divergence,div_kernel,G7-dependency,1.3454,0.2495,1.2535,0.326,13.0778,0.5229,0.0,0.4114,1.7008,1.0,90.0011
hb_doh,hessian_matrix_det,G3-l2-reuse,63.5176,65.3343,19.4961,0.1183,89.1634,0.6778,0.1196,0.1185,1.9766,0.9996,90.0228
hb_dpid,kernelDownsampling,G1-bandwidth,60.983,73.6998,44.868,0.7444,96.2179,0.4778,0.2207,0.7508,1.9143,1.0201,88.7376
hb_dpid,kernelGuidance,G1-bandwidth,67.2935,74.3559,64.1425,0.7707,94.6162,0.7199,0.0249,0.7776,1.8403,1.0617,85.7995
hb_dropout,fused_dropout_kernel,G1-bandwidth,93.1343,20.0319,93.1343,0.447,94.9506,0.6021,0.2264,0.931,1.0199,1.3535,3.2228
hb_dslash,dslash,G1-bandwidth,88.5908,11.1501,88.5908,0.3039,96.8664,1.4745,1.7101,0.3094,1.3622,1.2692,53.374
