app,kernel,class,t_base_ms,a_share,b_share,c_share,holdout_err_pct,gate
hb_bitpermute,bit_rev_permutation,G3-l2-reuse,0.271,0.825,-0.0,0.175,1.3,ok
hb_black_scholes,getOutValOption,G1-bandwidth,964.496,0.208,0.902,-0.111,9.5,nonphysical
hb_blas_fp8gemm,sm89_xmma_gemm_e4m3e4m3_e4m3f32_f32_tn_n_tilesize128x128x64_stage3_warpsize2x2x1_tensor16x8x32_execute_kernel__5x_cublas,G5-compute,6527.325,0.999,0.0,0.0,0.0,ok
hb_blas_gemm,cutlass::Kernel2,G7-dependency,42.822,0.975,-0.001,0.026,0.1,ok
hb_blas_gemm,cublasLt::splitKreduce_kernel,G1-bandwidth,4.653,0.71,0.0,0.29,1.8,ok
hb_blas_gemm,matrix_mul,G3-l2-reuse,0.031,0.855,0.005,0.14,0.1,ok
hb_blockAccess,reference,G1-bandwidth,163.936,0.004,0.897,0.099,0.1,ok
hb_blockexchange,k,G1-bandwidth,308.85,0.128,0.754,0.118,0.2,ok
hb_bm3d,block_matching,G3-l2-reuse,2504.1,0.999,0.001,0.0,0.0,ok
hb_bm3d,aggregate_block,G3-l2-reuse,1453.178,0.723,0.047,0.23,4.1,ok
hb_bm3d,DCT2D8x8,G1-bandwidth,1573.488,0.382,0.892,-0.274,17.1,nonphysical
hb_bm3d,IDCT2D8x8,G1-bandwidth,1548.745,0.403,0.93,-0.333,19.0,nonphysical
hb_bm3d,hard_treshold_block,G1-bandwidth,1292.804,0.982,0.26,-0.242,6.2,nonphysical
hb_bm3d,get_block,G1-bandwidth,478.395,0.081,0.796,0.123,1.3,ok
hb_bonds,bonds,G3-l2-reuse,10843.796,0.931,0.001,0.068,0.3,ok
hb_boxfilter,col_kernel,G4-latency,5291.459,0.779,0.0,0.221,1.5,ok
hb_boxfilter,row_kernel,G5-compute,5037.715,0.999,-0.0,0.001,0.0,ok
hb_bsearch,kernel_BS,G3-l2-reuse,1571.82,0.917,-0.019,0.103,0.3,ok
hb_bspline_vgh,bspline,G2-coalescing,84.324,0.795,0.007,0.197,1.0,ok
hb_burger,core,G5-compute,6157.26,1.0,0.0,0.0,0.0,ok
hb_burger,update,G1-bandwidth,1037.402,0.009,0.894,0.097,0.4,ok
hb_burger,bound_v,G3-l2-reuse,0.891,0.2,0.45,0.351,4.2,ok
hb_burger,bound_h,G7-dependency,0.21,0.567,0.159,0.274,1.4,ok
hb_bwt,bitonic_sort_step,G1-bandwidth,559.101,0.648,0.099,0.253,3.9,ok
hb_bwt,generate_table,G1-bandwidth,0.298,0.951,0.566,-0.517,14.0,nonphysical
hb_car,car,G1-bandwidth,7130.535,0.002,0.903,0.096,0.1,ok
hb_cbsfil,toCoef2DX,G3-l2-reuse,2397.97,0.474,0.164,0.362,7.6,ok
hb_cbsfil,toCoef2DY,G1-bandwidth,789.086,0.211,0.454,0.335,0.0,ok
hb_ccsd_trpdrv,ccsd_kernel,G5-compute,33.504,0.995,0.0,0.005,0.0,ok
hb_chacha20,test_keystreams,G7-dependency,2514.313,0.957,-0.0,0.043,0.3,ok
hb_chemv,chemv_kernel1,G4-latency,669.697,0.767,0.0,0.233,1.5,ok
hb_chemv,chemv_kernel0,G4-latency,69.82,0.697,0.012,0.291,1.3,ok
hb_clenergy,cenergy,G5-compute,1282.483,0.999,-0.0,0.001,0.0,ok
hb_clock,timedReduction,G3-l2-reuse,0.094,0.954,0.003,0.043,0.2,ok
hb_cmembench,benchmark_constant,G6-onchip,244.205,0.814,-0.0,0.186,1.0,ok
hb_cobahh,cobahh,G1-bandwidth,2.531,0.037,0.759,0.204,0.4,ok
hb_collision,checkDuplicates,G3-l2-reuse,65.56,0.71,-0.0,0.29,1.9,ok
hb_colorwheel,color,G1-bandwidth,4914.866,0.073,0.83,0.097,1.2,ok
hb_compute_score,compute,G1-bandwidth,5392.717,0.809,0.047,0.144,0.6,ok
hb_compute_score,reduction,G1-bandwidth,44.933,0.032,0.846,0.122,0.4,ok
hb_concurrentKernels,clock_block,G7-dependency,1998.511,1.0,-0.0,0.0,0.0,ok
hb_concurrentKernels,sum,G3-l2-reuse,0.002,0.585,0.077,0.338,3.0,ok
hb_contract,contraction,G5-compute,22250.0,1.003,0.002,-0.005,0.5,ok
hb_conversion,cvt,G1-bandwidth,2567.274,0.264,0.672,0.064,3.4,ok
hb_convolution3D,conv3d_s1,G3-l2-reuse,21.522,0.951,0.001,0.048,0.2,ok
hb_convolutionSeparable,conv_rows,G1-bandwidth,2781.021,0.95,0.697,-0.647,17.6,nonphysical
hb_convolutionSeparable,conv_cols,G1-bandwidth,2632.373,0.424,0.899,-0.324,19.2,nonphysical
hb_coordinates,transform::transform_kernel,G5-compute,8364.921,1.0,0.0,0.0,0.0,ok
hb_coordinates,for_each::static_kernel,G1-bandwidth,1.001,0.06,0.856,0.084,0.6,ok
hb_crc64,crc64_kernel,G2-coalescing,8.101,0.45,-0.021,0.571,3.7,nonphysical
hb_cross,cross_kernel,G1-bandwidth,521.437,0.005,0.9,0.096,0.2,ok
hb_crossEntropy,loss_bwd,G1-bandwidth,3636.756,0.827,0.14,0.032,0.1,ok
hb_crs,gcrs_m_1_w_4_coding_dotprod,G1-bandwidth,0.419,0.491,0.421,0.088,1.9,ok
hb_crs,gcrs_m_1_w_5_coding_dotprod,G1-bandwidth,0.48,0.618,0.375,0.008,4.1,ok
hb_damage,damage_of_node,G1-bandwidth,3491.272,0.761,0.099,0.139,0.2,ok
hb_dct8x8,DCT8x8_kernel,G1-bandwidth,262.159,0.003,0.897,0.1,0.1,ok
hb_ddbp,img_integration_kernel,G3-l2-reuse,7.582,0.163,0.205,0.632,0.4,ok
hb_ddbp,pad_projections_kernel,G7-dependency,0.026,0.572,0.009,0.418,2.2,ok
hb_ddbp,map_boudaries_kernel,G6-onchip,0.008,0.552,-0.03,0.478,3.9,nonphysical
